objective,operator,n,seed,hit_generation,censored,status
kendall,insert,6,10,22,False,ok
kendall,insert,6,11,12,False,ok
kendall,insert,6,12,39,False,ok
kendall,insert,6,13,4,False,ok
kendall,insert,6,14,20,False,ok
kendall,insert,8,0,33,False,ok
kendall,insert,8,1,81,False,ok
kendall,insert,8,2,85,False,ok
kendall,insert,8,3,101,False,ok
kendall,insert,8,4,93,False,ok
kendall,insert,8,5,115,False,ok
kendall,insert,8,6,90,False,ok
kendall,insert,8,7,57,False,ok
kendall,insert,8,8,122,False,ok
kendall,insert,8,9,62,False,ok
kendall,insert,8,10,36,False,ok
kendall,insert,8,11,35,False,ok
kendall,insert,8,12,37,False,ok
kendall,insert,8,13,62,False,ok
kendall,insert,8,14,44,False,ok
kendall,insert,10,0,103,False,ok
kendall,insert,10,1,135,False,ok
kendall,insert,10,2,153,False,ok
kendall,insert,10,3,121,False,ok
kendall,insert,10,4,73,False,ok
kendall,insert,10,5,114,False,ok
kendall,insert,10,6,39,False,ok
kendall,insert,10,7,130,False,ok
kendall,insert,10,8,193,False,ok
kendall,insert,10,9,71,False,ok
kendall,insert,10,10,186,False,ok
kendall,insert,10,11,55,False,ok
kendall,insert,10,12,108,False,ok
kendall,insert,10,13,155,False,ok
kendall,insert,10,14,181,False,ok
kendall,insert,12,0,111,False,ok
kendall,insert,12,1,126,False,ok
kendall,insert,12,2,216,False,ok
kendall,insert,12,3,244,False,ok
kendall,insert,12,4,92,False,ok
kendall,insert,12,5,236,False,ok
kendall,insert,12,6,128,False,ok
kendall,insert,12,7,326,False,ok
kendall,insert,12,8,255,False,ok
kendall,insert,12,9,212,False,ok
kendall,insert,12,10,224,False,ok
kendall,insert,12,11,333,False,ok
kendall,insert,12,12,454,False,ok
kendall,insert,12,13,179,False,ok
kendall,insert,12,14,223,False,ok
kendall,insert,14,0,242,False,ok
kendall,insert,14,1,135,False,ok
kendall,insert,14,2,280,False,ok
kendall,insert,14,3,243,False,ok
kendall,insert,14,4,415,False,ok
kendall,insert,14,5,175,False,ok
kendall,insert,14,6,356,False,ok
kendall,insert,14,7,419,False,ok
kendall,insert,14,8,346,False,ok
kendall,insert,14,9,278,False,ok
kendall,insert,14,10,294,False,ok
kendall,insert,14,11,331,False,ok
kendall,insert,14,12,444,False,ok
kendall,insert,14,13,566,False,ok
kendall,insert,14,14,311,False,ok
kendall,insert,16,0,262,False,ok
kendall,insert,16,1,355,False,ok
kendall,insert,16,2,326,False,ok
kendall,insert,16,3,243,False,ok
kendall,insert,16,4,426,False,ok
kendall,insert,16,5,434,False,ok
kendall,insert,16,6,420,False,ok
kendall,insert,16,7,419,False,ok
kendall,insert,16,8,254,False,ok
kendall,insert,16,9,485,False,ok
kendall,insert,16,10,350,False,ok
kendall,insert,16,11,303,False,ok
kendall,insert,16,12,510,False,ok
kendall,insert,16,13,502,False,ok
kendall,insert,16,14,652,False,ok
kendall,inversion,6,0,34,False,ok
kendall,inversion,6,1,32,False,ok
kendall,inversion,6,2,51,False,ok
kendall,inversion,6,3,0,False,ok
kendall,inversion,6,4,57,False,ok
kendall,inversion,6,5,28,False,ok
kendall,inversion,6,6,35,False,ok
kendall,inversion,6,7,24,False,ok
kendall,inversion,6,8,47,False,ok
kendall,inversion,6,9,12,False,ok
kendall,inversion,6,10,63,False,ok
kendall,inversion,6,11,25,False,ok
kendall,inversion,6,12,4,False,ok
kendall,inversion,6,13,26,False,ok
kendall,inversion,6,14,44,False,ok
kendall,inversion,8,0,33,False,ok
kendall,inversion,8,1,33,False,ok
kendall,inversion,8,2,154,False,ok
kendall,inversion,8,3,101,False,ok
kendall,inversion,8,4,104,False,ok
kendall,inversion,8,5,115,False,ok
kendall,inversion,8,6,90,False,ok
kendall,inversion,8,7,57,False,ok
kendall,inversion,8,8,169,False,ok
kendall,inversion,8,9,43,False,ok
kendall,inversion,8,10,96,False,ok
kendall,inversion,8,11,55,False,ok
kendall,inversion,8,12,101,False,ok
kendall,inversion,8,13,62,False,ok
kendall,inversion,8,14,112,False,ok
kendall,inversion,10,0,143,False,ok
kendall,inversion,10,1,135,False,ok
kendall,inversion,10,2,201,False,ok
kendall,inversion,10,3,121,False,ok
kendall,inversion,10,4,125,False,ok
kendall,inversion,10,5,132,False,ok
kendall,inversion,10,6,165,False,ok
kendall,inversion,10,7,130,False,ok
kendall,inversion,10,8,236,False,ok
kendall,inversion,10,9,77,False,ok
kendall,inversion,10,10,186,False,ok
kendall,inversion,10,11,143,False,ok
kendall,inversion,10,12,224,False,ok
kendall,inversion,10,13,135,False,ok
kendall,inversion,10,14,161,False,ok
kendall,inversion,12,0,243,False,ok
kendall,inversion,12,1,304,False,ok
kendall,inversion,12,2,329,False,ok
kendall,inversion,12,3,139,False,ok
kendall,inversion,12,4,423,False,ok
kendall,inversion,12,5,236,False,ok
kendall,inversion,12,6,317,False,ok
kendall,inversion,12,7,326,False,ok
kendall,inversion,12,8,255,False,ok
kendall,inversion,12,9,326,False,ok
kendall,inversion,12,10,294,False,ok
kendall,inversion,12,11,284,False,ok
kendall,inversion,12,12,454,False,ok
kendall,inversion,12,13,104,False,ok
kendall,inversion,12,14,210,False,ok
kendall,inversion,14,0,347,False,ok
kendall,inversion,14,1,315,False,ok
kendall,inversion,14,2,212,False,ok
kendall,inversion,14,3,382,False,ok
kendall,inversion,14,4,304,False,ok
kendall,inversion,14,5,799,False,ok
kendall,inversion,14,6,738,False,ok
kendall,inversion,14,7,536,False,ok
kendall,inversion,14,8,315,False,ok
kendall,inversion,14,9,278,False,ok
kendall,inversion,14,10,560,False,ok
kendall,inversion,14,11,568,False,ok
kendall,inversion,14,12,620,False,ok
kendall,inversion,14,13,449,False,ok
kendall,inversion,14,14,200,False,ok
kendall,inversion,16,0,599,False,ok
kendall,inversion,16,1,615,False,ok
kendall,inversion,16,2,486,False,ok
kendall,inversion,16,3,943,False,ok
kendall,inversion,16,4,716,False,ok
kendall,inversion,16,5,460,False,ok
kendall,inversion,16,6,390,False,ok
kendall,inversion,16,7,554,False,ok
kendall,inversion,16,8,675,False,ok
kendall,inversion,16,9,605,False,ok
kendall,inversion,16,10,403,False,ok
kendall,inversion,16,11,912,False,ok
kendall,inversion,16,12,640,False,ok
kendall,inversion,16,13,413,False,ok
kendall,inversion,16,14,407,False,ok
kendall,scramble,6,0,68,False,ok
kendall,scramble,6,1,46,False,ok
kendall,scramble,6,2,45,False,ok
kendall,scramble,6,3,0,False,ok
kendall,scramble,6,4,20,False,ok
kendall,scramble,6,5,48,False,ok
kendall,scramble,6,6,5,False,ok
kendall,scramble,6,7,47,False,ok
kendall,scramble,6,8,54,False,ok
kendall,scramble,6,9,59,False,ok
kendall,scramble,6,10,28,False,ok
kendall,scramble,6,11,21,False,ok
kendall,scramble,6,12,6,False,ok
kendall,scramble,6,13,22,False,ok
kendall,scramble,6,14,14,False,ok
kendall,scramble,8,0,35,False,ok
kendall,scramble,8,1,98,False,ok
kendall,scramble,8,2,74,False,ok
kendall,scramble,8,3,133,False,ok
kendall,scramble,8,4,103,False,ok
kendall,scramble,8,5,28,False,ok
kendall,scramble,8,6,75,False,ok
kendall,scramble,8,7,30,False,ok
kendall,scramble,8,8,140,False,ok
kendall,scramble,8,9,23,False,ok
kendall,scramble,8,10,41,False,ok
kendall,scramble,8,11,74,False,ok
kendall,scramble,8,12,185,False,ok
kendall,scramble,8,13,122,False,ok
kendall,scramble,8,14,34,False,ok
kendall,scramble,10,0,119,False,ok
kendall,scramble,10,1,338,False,ok
kendall,scramble,10,2,288,False,ok
kendall,scramble,10,3,75,False,ok
kendall,scramble,10,4,144,False,ok
kendall,scramble,10,5,110,False,ok
kendall,scramble,10,6,115,False,ok
kendall,scramble,10,7,196,False,ok
kendall,scramble,10,8,70,False,ok
kendall,scramble,10,9,84,False,ok
kendall,scramble,10,10,130,False,ok
kendall,scramble,10,11,203,False,ok
kendall,scramble,10,12,164,False,ok
kendall,scramble,10,13,42,False,ok
kendall,scramble,10,14,184,False,ok
kendall,scramble,12,0,306,False,ok
kendall,scramble,12,1,142,False,ok
kendall,scramble,12,2,217,False,ok
kendall,scramble,12,3,154,False,ok
kendall,scramble,12,4,124,False,ok
kendall,scramble,12,5,303,False,ok
kendall,scramble,12,6,226,False,ok
kendall,scramble,12,7,335,False,ok
kendall,scramble,12,8,309,False,ok
kendall,scramble,12,9,221,False,ok
kendall,scramble,12,10,406,False,ok
kendall,scramble,12,11,259,False,ok
kendall,scramble,12,12,214,False,ok
kendall,scramble,12,13,166,False,ok
kendall,scramble,12,14,185,False,ok
kendall,scramble,14,0,238,False,ok
kendall,scramble,14,1,340,False,ok
kendall,scramble,14,2,519,False,ok
kendall,scramble,14,3,359,False,ok
kendall,scramble,14,4,462,False,ok
kendall,scramble,14,5,174,False,ok
kendall,scramble,14,6,429,False,ok
kendall,scramble,14,7,508,False,ok
kendall,scramble,14,8,421,False,ok
kendall,scramble,14,9,99,False,ok
kendall,scramble,14,10,418,False,ok
kendall,scramble,14,11,583,False,ok
kendall,scramble,14,12,178,False,ok
kendall,scramble,14,13,360,False,ok
kendall,scramble,14,14,203,False,ok
kendall,scramble,16,0,372,False,ok
kendall,scramble,16,1,416,False,ok
kendall,scramble,16,2,448,False,ok
kendall,scramble,16,3,656,False,ok
kendall,scramble,16,4,480,False,ok
kendall,scramble,16,5,402,False,ok
kendall,scramble,16,6,517,False,ok
kendall,scramble,16,7,608,False,ok
kendall,scramble,16,8,668,False,ok
kendall,scramble,16,9,371,False,ok
kendall,scramble,16,10,366,False,ok
kendall,scramble,16,11,752,False,ok
kendall,scramble,16,12,671,False,ok
kendall,scramble,16,13,906,False,ok
kendall,scramble,16,14,467,False,ok
adjacency,swap,6,0,13,False,ok
adjacency,swap,6,1,10000,True,censored
adjacency,swap,6,2,10000,True,censored
adjacency,swap,6,3,0,False,ok
adjacency,swap,6,4,10000,True,censored
adjacency,swap,6,5,10000,True,censored
adjacency,swap,6,6,10000,True,censored
adjacency,swap,6,7,65,False,ok
adjacency,swap,6,8,10000,True,censored
adjacency,swap,6,9,10000,True,censored
adjacency,swap,6,10,10000,True,censored
adjacency,swap,6,11,10000,True,censored
adjacency,swap,6,12,9,False,ok
adjacency,swap,6,13,6,False,ok
