perm,qidx,correct
"[3, 2, 1, 5, 4, 0]",20,0
"[3, 2, 1, 5, 4, 0]",21,0
"[3, 2, 1, 5, 4, 0]",22,0
"[3, 2, 1, 5, 4, 0]",23,0
"[3, 2, 1, 5, 4, 0]",24,0
"[3, 2, 1, 5, 4, 0]",25,1
"[3, 2, 1, 5, 4, 0]",26,1
"[3, 2, 1, 5, 4, 0]",27,0
"[3, 2, 1, 5, 4, 0]",28,0
"[3, 2, 1, 5, 4, 0]",29,0
"[3, 2, 1, 5, 4, 0]",30,1
"[3, 2, 1, 5, 4, 0]",31,0
"[0, 5, 4, 2, 1, 3]",0,1
"[0, 5, 4, 2, 1, 3]",1,1
"[0, 5, 4, 2, 1, 3]",2,1
"[0, 5, 4, 2, 1, 3]",3,1
"[0, 5, 4, 2, 1, 3]",4,0
"[0, 5, 4, 2, 1, 3]",5,1
"[0, 5, 4, 2, 1, 3]",6,1
"[0, 5, 4, 2, 1, 3]",7,1
"[0, 5, 4, 2, 1, 3]",8,1
