dataset,distribution,n_placements,mean,sd,range,best,n_optima,swap_edges,rho_swap,fdc
cifar10-valid,0;6;0;0;0,1,39.76933332316081,0.0,0.0,39.76933332316081,1,0,nan,nan
cifar10-valid,1;0;0;0;5,6,55.909555551249184,6.268448982350089,14.753333318684888,65.1293333247884,1,30,-0.19999999999999998,-0.6577719591281175
cifar10-valid,1;0;0;1;4,30,78.33828888216145,5.861460742867215,20.742000001220703,86.6440000012207,1,270,0.11727992553721818,-0.2003862766279178
cifar10-valid,1;0;0;2;3,60,84.23112221957737,4.322382332646892,23.23399999674477,89.12599998291014,1,660,0.17845010019840749,-0.013023185540671046
cifar10-valid,1;0;0;3;2,60,87.64839999898952,1.983653856521791,10.03600000976563,89.6699999987793,1,660,0.16602847580416866,-0.23284316055085613
cifar10-valid,1;0;0;4;1,30,89.19135555486382,0.620673024799063,2.157999990234387,90.05399999267578,1,270,0.15437632956837102,-0.12781091545327514
cifar10-valid,1;0;0;5;0,6,89.70488888631185,0.37364880539773176,1.0919999910481835,90.01733332763672,1,30,-0.19999999999999993,-0.3739591830091248
cifar10-valid,1;0;1;0;4,30,76.06628888269044,5.257494635864754,18.28799997192384,84.66399997436524,1,270,0.127184896546077,-0.24111081151909566
cifar10-valid,1;0;1;1;3,120,83.39156666622586,4.504720217696733,22.723333344319656,88.66600000610352,1,1440,0.28356254382350154,-0.017246879624584488
cifar10-valid,1;0;1;2;2,180,87.37285554950856,2.266998169901193,13.724000003255213,90.00799999104818,1,2340,0.30866093493375335,-0.220098920676867
cifar10-valid,1;0;1;3;1,120,89.14276666475762,0.595499109225935,2.7259999890136726,90.29799999267578,1,1440,0.3189277252073416,-0.19235807532947546
cifar10-valid,1;0;1;4;0,30,89.6656222157525,0.48128456590915186,1.811999993489593,90.42133332275391,1,270,0.2556476918954978,-0.3426578223428672
cifar10-valid,1;0;2;0;3,60,81.8354222169732,4.398492398011528,20.681333351236972,86.93333333902994,1,660,0.24453667082628394,-0.5864380341480506
cifar10-valid,1;0;2;1;2,180,86.80458888510245,2.45235357490298,13.585999996744803,89.53599998942057,1,2340,0.3299549744663393,-0.19520919073337945
cifar10-valid,1;0;2;2;1,180,89.00157036033573,0.7272997961181183,4.129999982910164,90.25599997802735,1,2340,0.3313593360957152,-0.15415427093113107
cifar10-valid,1;0;2;3;0,60,89.67609999357774,0.48223448491544,1.8279999853515676,90.55999998901368,1,660,0.32859001000951893,-0.390809400729425
cifar10-valid,1;0;3;0;2,60,85.32274444382055,2.6417014929366207,11.643999986979168,87.50933331868491,1,660,0.20840720784614508,-0.25350589602267054
cifar10-valid,1;0;3;1;1,120,88.4151833305359,0.8743603804004038,3.5820000085449237,89.78200000366212,1,1440,0.29993924553797563,-0.264549331355446
cifar10-valid,1;0;3;2;0,60,89.38226666069878,0.7405889944676532,3.762666654052751,90.28399999877931,1,660,0.16701467451126578,-0.09022821910163376
cifar10-valid,1;0;4;0;1,30,86.86628889242894,0.47286526618626684,1.8599999910481841,87.50400000732422,1,270,0.23163528168378922,-0.2508506325293138
cifar10-valid,1;0;4;1;0,30,88.70013332558867,1.0417070056679663,3.537999982096366,89.68999998779297,1,270,0.05174414819632997,-0.2601383859814235
cifar10-valid,1;0;5;0;0,6,86.34766667466904,0.404441044916791,1.3080000122070317,86.84400000732421,1,30,-0.19999999999999996,-0.5488241538611858
cifar10-valid,1;1;0;0;4,30,58.73077777464463,8.637203505530005,25.963333327229833,77.23399998901368,1,270,0.31510530772998585,-0.5365505539144486
cifar10-valid,1;1;0;1;3,120,80.72522777429116,5.868886511211507,42.48800000579834,88.41400000366211,1,1440,0.2623559631291195,-0.1957743491870406
cifar10-valid,1;1;0;2;2,180,86.38326666091353,3.3193201677630677,20.35000001342773,90.99400001464844,1,2340,0.26198580822931383,-0.20044057323960804
cifar10-valid,1;1;0;3;1,120,88.99187777563138,0.8954390613271872,4.097333311360671,91.08266665445963,1,1440,0.30164487095036246,-0.2702151685899521
cifar10-valid,1;1;0;4;0,30,89.81959999612086,0.754092192613354,3.137999991455075,91.34399999267578,1,270,0.21909350117239432,-0.565522487611468
cifar10-valid,1;1;1;0;3,120,78.91984443736098,4.7370586080721795,20.61200002563477,87.22000000976563,1,1440,0.29547786057223235,-0.3897251209777771
cifar10-valid,1;1;1;1;2,360,85.87536296223732,3.4744198689842585,21.637333309733066,90.6106666463216,1,5040,0.33884545453715886,-0.15694485421373747
cifar10-valid,1;1;1;2;1,360,88.84831110163937,1.0158281052124158,6.202666658528642,91.344,1,5040,0.3739048772473479,-0.2073718712186463
cifar10-valid,1;1;1;3;0,120,89.80862777313571,0.6810889371270917,2.987999973958324,91.50533331298827,1,1440,0.398014158744449,-0.44838756194306434
cifar10-valid,1;1;2;0;2,180,84.43566666738552,3.2079472479452225,17.290000002441403,88.13600001098632,1,2340,0.28869546480248687,-0.26512527282864645
cifar10-valid,1;1;2;1;1,360,88.3412018448475,1.1024340560292014,5.437999985351581,90.58599998046876,1,5040,0.3816761274590474,-0.15083802027738563
cifar10-valid,1;1;2;2;0,180,89.5902036928869,0.8004880429346453,5.563999976399742,91.41599997314454,1,2340,0.32883852375197287,-0.3910690773405295
cifar10-valid,1;1;3;0;1,120,86.87872777720135,0.686603118644098,3.341999988199859,88.6539999987793,1,1440,0.33707883671143196,-0.39407335785477143
cifar10-valid,1;1;3;1;0,120,89.0105555518765,1.0417836272503722,4.746666657307955,90.83466665364584,1,1440,0.2949184112605654,-0.4611351932797155
cifar10-valid,1;1;4;0;0,30,86.70822222414822,0.7001926111201058,3.172666644287105,88.40599999145508,1,270,0.2617788911432133,-0.590173113404858
cifar10-valid,1;2;0;0;3,60,61.18978888346014,9.341341038573821,26.358666655680345,78.74799998413087,1,660,0.43493168830934803,-0.40060288658455384
cifar10-valid,1;2;0;1;2,180,83.21357406997342,4.029136231196498,19.13333334228514,89.25866666178383,1,2340,0.3161018900587808,-0.07900813168332885
cifar10-valid,1;2;0;2;1,180,88.03116665861906,2.161227558739412,13.056000012207022,90.97999999633788,1,2340,0.23070452901545702,-0.07830404373430559
cifar10-valid,1;2;0;3;0,60,89.82766666438125,0.9186941377588075,2.7073333223470115,91.36599999145508,1,660,0.273369881494153,-0.39909014500767426
cifar10-valid,1;2;1;0;2,180,81.53419629166441,3.8368861907260614,17.222000028076167,87.2700000048828,1,2340,0.3094038834688001,-0.2516820594906312
cifar10-valid,1;2;1;1;1,360,87.63284073699498,2.1889629215573208,14.241999979248035,90.72399998413086,1,5040,0.31541334032222196,-0.052826249948980275
cifar10-valid,1;2;1;2;0,180,89.64116665394197,0.9132015062121605,4.33599998046877,91.15066664713542,1,2340,0.2944226870945675,-0.01673813712568794
cifar10-valid,1;2;2;0;1,180,86.07673703707547,1.6681743729351208,10.502000013427732,88.13600000732421,1,2340,0.21881365693784516,-0.09947249216867732
cifar10-valid,1;2;2;1;0,180,89.16022591697862,1.0124063342271685,4.738666635742177,90.65466664713541,2,2340,0.32479064294527876,-0.25840906528611046
cifar10-valid,1;2;3;0;0,60,86.9835000002238,0.7108051400276795,2.144666653645828,88.14266666097005,1,660,0.2944442656553923,-0.4303301685806636
cifar10-valid,1;3;0;0;2,60,64.55365555180529,9.260478419976355,29.90600000528972,82.4299999963379,1,660,0.43321151171384215,-0.4471034083132447
cifar10-valid,1;3;0;1;1,120,84.93292777482435,3.0316126339688863,11.87733333007813,89.29866666259765,1,1440,0.26674806084714736,-0.24340403341613753
cifar10-valid,1;3;0;2;0,60,89.0934555476481,1.43907042036083,8.317333322753925,91.0613333178711,1,660,0.06988085719186886,-0.07969349889165343
cifar10-valid,1;3;1;0;1,120,83.76026666500177,2.504971956452847,9.728000010986335,87.11800000122071,1,1440,0.24900333180547815,-0.15817336208056984
cifar10-valid,1;3;1;1;0,120,88.67623332661607,1.5408091084138202,8.390666653645823,90.46266664632161,1,1440,0.21451772534781816,-0.02431481890239926
cifar10-valid,1;3;2;0;0,60,86.79751111516657,0.8990055436455083,5.543333354085291,87.97733333821616,1,660,-0.011307341325091763,-0.04214497978761608
cifar10-valid,1;4;0;0;1,30,69.5204666589491,7.605459888220874,23.505333343505868,82.52800000244142,1,270,0.30861123733246737,-0.4721721876960212
cifar10-valid,1;4;0;1;0,30,86.07484444546171,2.335618844881908,7.049333324381507,89.24133332763672,1,270,0.06543919692422809,-0.29883255084062693
cifar10-valid,1;4;1;0;0,30,85.05911110982257,1.4579967938336251,4.606666662597647,87.16666666015625,1,270,0.06124769638515674,-0.3523803268674496
