perm,fitness
"[2, 0, 1, 4, 3, 5]",0.90625
"[2, 0, 1, 4, 5, 3]",0.6875
"[2, 0, 1, 5, 3, 4]",0.90625
"[2, 0, 1, 5, 4, 3]",0.71875
"[2, 0, 3, 1, 4, 5]",0.875
"[2, 0, 3, 1, 5, 4]",0.90625
"[2, 0, 3, 4, 1, 5]",0.875
"[2, 0, 3, 4, 5, 1]",0.6875
"[2, 0, 3, 5, 1, 4]",0.9375
"[2, 0, 3, 5, 4, 1]",0.9375
"[2, 0, 4, 1, 3, 5]",0.875
"[2, 0, 4, 1, 5, 3]",0.8125
"[2, 0, 4, 3, 1, 5]",0.875
"[2, 0, 4, 3, 5, 1]",0.9375
"[2, 0, 4, 5, 1, 3]",0.78125
"[2, 0, 4, 5, 3, 1]",0.5625
"[2, 0, 5, 1, 3, 4]",0.40625
"[2, 0, 5, 1, 4, 3]",0.5
"[2, 0, 5, 3, 1, 4]",0.46875
"[2, 0, 5, 3, 4, 1]",0.34375
"[2, 0, 5, 4, 1, 3]",0.65625
"[2, 0, 5, 4, 3, 1]",0.53125
"[2, 1, 0, 3, 4, 5]",0.90625
"[2, 1, 0, 3, 5, 4]",0.96875
"[2, 1, 0, 4, 3, 5]",0.90625
"[2, 1, 0, 4, 5, 3]",0.84375
"[2, 1, 0, 5, 3, 4]",0.53125
"[2, 1, 0, 5, 4, 3]",0.8125
"[2, 1, 3, 0, 4, 5]",0.84375
"[2, 1, 3, 0, 5, 4]",0.9375
"[2, 1, 3, 4, 0, 5]",0.875
"[2, 1, 3, 4, 5, 0]",0.75
"[2, 1, 3, 5, 0, 4]",0.90625
"[2, 1, 3, 5, 4, 0]",0.9375
"[2, 1, 4, 0, 3, 5]",0.9375
"[2, 1, 4, 0, 5, 3]",0.875
"[2, 1, 4, 3, 0, 5]",0.90625
"[2, 1, 4, 3, 5, 0]",0.875
"[2, 1, 4, 5, 0, 3]",0.78125
"[2, 1, 4, 5, 3, 0]",0.71875
"[2, 1, 5, 0, 3, 4]",0.59375
"[2, 1, 5, 0, 4, 3]",0.6875
"[2, 1, 5, 3, 0, 4]",0.65625
"[2, 1, 5, 3, 4, 0]",0.46875
"[2, 1, 5, 4, 0, 3]",0.90625
"[2, 1, 5, 4, 3, 0]",0.8125
"[2, 3, 0, 1, 4, 5]",0.90625
"[2, 3, 0, 1, 5, 4]",0.9375
"[2, 3, 0, 4, 1, 5]",0.84375
"[2, 3, 0, 4, 5, 1]",0.96875
"[2, 3, 0, 5, 1, 4]",0.9375
"[2, 3, 0, 5, 4, 1]",0.96875
"[2, 3, 1, 0, 4, 5]",0.875
"[2, 3, 1, 0, 5, 4]",0.9375
"[2, 3, 1, 4, 0, 5]",0.875
"[2, 3, 1, 4, 5, 0]",0.84375
"[2, 3, 1, 5, 0, 4]",0.9375
"[2, 3, 1, 5, 4, 0]",0.9375
"[2, 3, 4, 0, 1, 5]",0.9375
"[2, 3, 4, 0, 5, 1]",0.90625
"[2, 3, 4, 1, 0, 5]",0.9375
"[2, 3, 4, 1, 5, 0]",0.875
"[2, 3, 4, 5, 0, 1]",0.46875
"[2, 3, 4, 5, 1, 0]",0.5625
"[2, 3, 5, 0, 1, 4]",0.9375
"[2, 3, 5, 0, 4, 1]",0.9375
"[2, 3, 5, 1, 0, 4]",0.9375
