landscape,method,seed,evals_to_optimum,best@200
kendall_n7,hybrid,14,75,1.0
kendall_n7,surr-pos,0,336,0.9524
kendall_n7,surr-pos,1,280,0.9524
kendall_n7,surr-pos,2,397,0.9524
kendall_n7,surr-pos,3,399,0.9524
kendall_n7,surr-pos,4,13,1.0
kendall_n7,surr-pos,5,15,1.0
kendall_n7,surr-pos,6,82,1.0
kendall_n7,surr-pos,7,25,1.0
kendall_n7,surr-pos,8,449,0.9048
kendall_n7,surr-pos,9,42,1.0
kendall_n7,surr-pos,10,395,0.9524
kendall_n7,surr-pos,11,86,1.0
kendall_n7,surr-pos,12,35,1.0
kendall_n7,surr-pos,13,371,0.9524
kendall_n7,surr-pos,14,71,1.0
kendall_n7,surr-prec,0,14,1.0
kendall_n7,surr-prec,1,13,1.0
kendall_n7,surr-prec,2,16,1.0
kendall_n7,surr-prec,3,12,1.0
kendall_n7,surr-prec,4,14,1.0
kendall_n7,surr-prec,5,12,1.0
kendall_n7,surr-prec,6,14,1.0
kendall_n7,surr-prec,7,12,1.0
kendall_n7,surr-prec,8,14,1.0
kendall_n7,surr-prec,9,13,1.0
kendall_n7,surr-prec,10,14,1.0
kendall_n7,surr-prec,11,12,1.0
kendall_n7,surr-prec,12,15,1.0
kendall_n7,surr-prec,13,15,1.0
kendall_n7,surr-prec,14,12,1.0
kendall_n7,random,0,-1,0.8571
kendall_n7,random,1,-1,0.8095
kendall_n7,random,2,-1,0.8571
kendall_n7,random,3,-1,0.9048
kendall_n7,random,4,-1,0.8571
kendall_n7,random,5,-1,0.9524
kendall_n7,random,6,-1,0.9048
kendall_n7,random,7,-1,0.8571
kendall_n7,random,8,-1,0.9048
kendall_n7,random,9,-1,0.9524
kendall_n7,random,10,-1,0.8571
kendall_n7,random,11,-1,0.8095
kendall_n7,random,12,-1,0.9048
kendall_n7,random,13,-1,0.8571
kendall_n7,random,14,-1,0.9048
