landscape,family,n,method,seed,budget,evaluated,hit,best,optimum,regret,auc,best_at_15,best_at_25,best_at_50,best_at_100,best_at_200,hit_by_15,hit_by_25,hit_by_50,hit_by_100,hit_by_200
adjacency_n7,synthetic,7,ea_elitist,39,200,200,139,1.0,1.0,0.0,0.84,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,0,200,200,,0.83333333,1.0,0.16666667,0.79083333,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,1,200,200,117,1.0,1.0,0.0,0.85916667,0.66666667,0.66666667,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,2,200,200,120,1.0,1.0,0.0,0.82583333,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,3,200,200,89,1.0,1.0,0.0,0.88666667,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,4,200,200,95,1.0,1.0,0.0,0.905,0.83333333,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,5,200,200,88,1.0,1.0,0.0,0.88666667,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,6,200,200,,0.83333333,1.0,0.16666667,0.80333333,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,7,200,200,73,1.0,1.0,0.0,0.8975,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,8,200,200,77,1.0,1.0,0.0,0.89583333,0.5,0.83333333,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,9,200,200,,0.83333333,1.0,0.16666667,0.76833333,0.66666667,0.66666667,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,10,200,200,40,1.0,1.0,0.0,0.92583333,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_portfolio,11,200,200,47,1.0,1.0,0.0,0.91833333,0.66666667,0.66666667,1.0,1.0,1.0,0,0,1,1,1
adjacency_n7,synthetic,7,ea_portfolio,12,200,200,123,1.0,1.0,0.0,0.825,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,13,200,200,151,1.0,1.0,0.0,0.79166667,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,14,200,200,91,1.0,1.0,0.0,0.85666667,0.66666667,0.66666667,0.66666667,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,15,200,200,154,1.0,1.0,0.0,0.8675,0.83333333,0.83333333,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,16,200,200,143,1.0,1.0,0.0,0.81583333,0.5,0.5,0.83333333,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,17,200,200,88,1.0,1.0,0.0,0.87,0.66666667,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
adjacency_n7,synthetic,7,ea_portfolio,18,200,200,,0.83333333,1.0,0.16666667,0.72666667,0.5,0.5,0.66666667,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,19,200,200,184,1.0,1.0,0.0,0.76583333,0.5,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,20,200,200,,0.83333333,1.0,0.16666667,0.7875,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,21,200,200,,0.83333333,1.0,0.16666667,0.795,0.66666667,0.66666667,0.83333333,0.83333333,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,22,200,200,136,1.0,1.0,0.0,0.82333333,0.66666667,0.66666667,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,23,200,200,,0.83333333,1.0,0.16666667,0.695,0.5,0.5,0.66666667,0.66666667,0.83333333,0,0,0,0,0
adjacency_n7,synthetic,7,ea_portfolio,24,200,200,170,1.0,1.0,0.0,0.765,0.5,0.5,0.66666667,0.83333333,1.0,0,0,0,0,1
adjacency_n7,synthetic,7,ea_portfolio,25,200,200,85,1.0,1.0,0.0,0.88083333,0.5,0.66666667,0.83333333,1.0,1.0,0,0,0,1,1
