landscape,family,method,budget,seeds,success,success_low,success_high,mean_best,mean_auc,mean_evals_to_hit,n_hits
deceptive_n7,synthetic,iterated_local_search,25,40,0.0,0.0,0.0876,0.992857,1.001839,145.0,1
deceptive_n7,synthetic,iterated_local_search,50,40,0.0,0.0,0.0876,1.0,1.001839,145.0,1
deceptive_n7,synthetic,iterated_local_search,100,40,0.0,0.0,0.0876,1.0,1.001839,145.0,1
deceptive_n7,synthetic,iterated_local_search,200,40,0.025,0.0044,0.1288,1.025,1.001839,145.0,1
deceptive_n7,synthetic,ls_insert,15,40,0.0,0.0,0.0876,0.971429,1.006089,111.0,1
deceptive_n7,synthetic,ls_insert,25,40,0.0,0.0,0.0876,0.992857,1.006089,111.0,1
deceptive_n7,synthetic,ls_insert,50,40,0.0,0.0,0.0876,1.0,1.006089,111.0,1
deceptive_n7,synthetic,ls_insert,100,40,0.0,0.0,0.0876,1.0,1.006089,111.0,1
deceptive_n7,synthetic,ls_insert,200,40,0.025,0.0044,0.1288,1.025,1.006089,111.0,1
deceptive_n7,synthetic,ls_inversion,15,40,0.0,0.0,0.0876,0.996429,1.012411,157.67,3
deceptive_n7,synthetic,ls_inversion,25,40,0.0,0.0,0.0876,0.996429,1.012411,157.67,3
deceptive_n7,synthetic,ls_inversion,50,40,0.0,0.0,0.0876,1.0,1.012411,157.67,3
deceptive_n7,synthetic,ls_inversion,100,40,0.0,0.0,0.0876,1.0,1.012411,157.67,3
deceptive_n7,synthetic,ls_inversion,200,40,0.075,0.0258,0.1986,1.075,1.012411,157.67,3
deceptive_n7,synthetic,ls_swap,15,40,0.0,0.0,0.0876,0.971429,1.004929,170.67,3
deceptive_n7,synthetic,ls_swap,25,40,0.0,0.0,0.0876,0.982143,1.004929,170.67,3
deceptive_n7,synthetic,ls_swap,50,40,0.0,0.0,0.0876,1.0,1.004929,170.67,3
deceptive_n7,synthetic,ls_swap,100,40,0.0,0.0,0.0876,1.0,1.004929,170.67,3
deceptive_n7,synthetic,ls_swap,200,40,0.075,0.0258,0.1986,1.075,1.004929,170.67,3
deceptive_n7,synthetic,prism_protocol,15,40,0.0,0.0,0.0876,1.0,0.998054,,0
deceptive_n7,synthetic,prism_protocol,25,40,0.0,0.0,0.0876,1.0,0.998054,,0
deceptive_n7,synthetic,prism_protocol,50,40,0.0,0.0,0.0876,1.0,0.998054,,0
deceptive_n7,synthetic,prism_protocol,100,40,0.0,0.0,0.0876,1.0,0.998054,,0
deceptive_n7,synthetic,prism_protocol,200,40,0.0,0.0,0.0876,1.0,0.998054,,0
deceptive_n7,synthetic,simulated_annealing,15,40,0.0,0.0,0.0876,1.0,0.997554,,0
deceptive_n7,synthetic,simulated_annealing,25,40,0.0,0.0,0.0876,1.0,0.997554,,0
deceptive_n7,synthetic,simulated_annealing,50,40,0.0,0.0,0.0876,1.0,0.997554,,0
deceptive_n7,synthetic,simulated_annealing,100,40,0.0,0.0,0.0876,1.0,0.997554,,0
deceptive_n7,synthetic,simulated_annealing,200,40,0.0,0.0,0.0876,1.0,0.997554,,0
deceptive_n7,synthetic,surrogate_positional,15,40,0.0,0.0,0.0876,1.0,0.997643,,0
deceptive_n7,synthetic,surrogate_positional,25,40,0.0,0.0,0.0876,1.0,0.997643,,0
deceptive_n7,synthetic,surrogate_positional,50,40,0.0,0.0,0.0876,1.0,0.997643,,0
deceptive_n7,synthetic,surrogate_positional,100,40,0.0,0.0,0.0876,1.0,0.997643,,0
deceptive_n7,synthetic,surrogate_positional,200,40,0.0,0.0,0.0876,1.0,0.997643,,0
deceptive_n7,synthetic,surrogate_precedence,15,40,0.0,0.0,0.0876,1.0,0.997661,,0
deceptive_n7,synthetic,surrogate_precedence,25,40,0.0,0.0,0.0876,1.0,0.997661,,0
deceptive_n7,synthetic,surrogate_precedence,50,40,0.0,0.0,0.0876,1.0,0.997661,,0
deceptive_n7,synthetic,surrogate_precedence,100,40,0.0,0.0,0.0876,1.0,0.997661,,0
deceptive_n7,synthetic,surrogate_precedence,200,40,0.0,0.0,0.0876,1.0,0.997661,,0
deceptive_n7,synthetic,uniform,15,40,0.0,0.0,0.0876,1.0,1.006089,139.0,1
deceptive_n7,synthetic,uniform,25,40,0.0,0.0,0.0876,1.0,1.006089,139.0,1
deceptive_n7,synthetic,uniform,50,40,0.0,0.0,0.0876,1.0,1.006089,139.0,1
deceptive_n7,synthetic,uniform,100,40,0.0,0.0,0.0876,1.0,1.006089,139.0,1
deceptive_n7,synthetic,uniform,200,40,0.025,0.0044,0.1288,1.025,1.006089,139.0,1
hamming_n7,synthetic,ea_aging,15,40,0.0,0.0,0.0876,0.435714,0.700179,99.94,17
hamming_n7,synthetic,ea_aging,25,40,0.0,0.0,0.0876,0.507143,0.700179,99.94,17
hamming_n7,synthetic,ea_aging,50,40,0.075,0.0258,0.1986,0.635714,0.700179,99.94,17
hamming_n7,synthetic,ea_aging,100,40,0.25,0.1419,0.4019,0.753571,0.700179,99.94,17
hamming_n7,synthetic,ea_aging,200,40,0.425,0.2851,0.5781,0.835714,0.700179,99.94,17
hamming_n7,synthetic,ea_elitist,15,40,0.0,0.0,0.0876,0.435714,0.821732,87.45,40
hamming_n7,synthetic,ea_elitist,25,40,0.0,0.0,0.0876,0.510714,0.821732,87.45,40
hamming_n7,synthetic,ea_elitist,50,40,0.075,0.0258,0.1986,0.696429,0.821732,87.45,40
hamming_n7,synthetic,ea_elitist,100,40,0.65,0.4951,0.7787,0.9,0.821732,87.45,40
hamming_n7,synthetic,ea_elitist,200,40,1.0,0.9124,1.0,1.0,0.821732,87.45,40
hamming_n7,synthetic,ea_portfolio,15,40,0.0,0.0,0.0876,0.435714,0.762518,116.0,38
hamming_n7,synthetic,ea_portfolio,25,40,0.0,0.0,0.0876,0.5,0.762518,116.0,38
hamming_n7,synthetic,ea_portfolio,50,40,0.025,0.0044,0.1288,0.614286,0.762518,116.0,38
hamming_n7,synthetic,ea_portfolio,100,40,0.375,0.2422,0.5297,0.814286,0.762518,116.0,38
hamming_n7,synthetic,ea_portfolio,200,40,0.95,0.835,0.9862,0.985714,0.762518,116.0,38
hamming_n7,synthetic,eda_precedence,15,40,0.0,0.0,0.0876,0.442857,0.633679,119.27,11
hamming_n7,synthetic,eda_precedence,25,40,0.0,0.0,0.0876,0.521429,0.633679,119.27,11
hamming_n7,synthetic,eda_precedence,50,40,0.025,0.0044,0.1288,0.589286,0.633679,119.27,11
hamming_n7,synthetic,eda_precedence,100,40,0.125,0.0546,0.2611,0.675,0.633679,119.27,11
hamming_n7,synthetic,eda_precedence,200,40,0.275,0.1611,0.4284,0.746429,0.633679,119.27,11
hamming_n7,synthetic,iterated_local_search,15,40,0.0,0.0,0.0876,0.4,0.622857,139.77,13
hamming_n7,synthetic,iterated_local_search,25,40,0.0,0.0,0.0876,0.428571,0.622857,139.77,13
hamming_n7,synthetic,iterated_local_search,50,40,0.025,0.0044,0.1288,0.571429,0.622857,139.77,13
hamming_n7,synthetic,iterated_local_search,100,40,0.05,0.0138,0.165,0.65,0.622857,139.77,13
hamming_n7,synthetic,iterated_local_search,200,40,0.325,0.2008,0.4798,0.771429,0.622857,139.77,13
hamming_n7,synthetic,ls_insert,15,40,0.0,0.0,0.0876,0.4,0.607875,120.75,4
hamming_n7,synthetic,ls_insert,25,40,0.0,0.0,0.0876,0.428571,0.607875,120.75,4
hamming_n7,synthetic,ls_insert,50,40,0.025,0.0044,0.1288,0.567857,0.607875,120.75,4
hamming_n7,synthetic,ls_insert,100,40,0.025,0.0044,0.1288,0.653571,0.607875,120.75,4
hamming_n7,synthetic,ls_insert,200,40,0.1,0.0396,0.2305,0.721429,0.607875,120.75,4
hamming_n7,synthetic,ls_inversion,15,40,0.0,0.0,0.0876,0.396429,0.702071,119.95,20
hamming_n7,synthetic,ls_inversion,25,40,0.0,0.0,0.0876,0.464286,0.702071,119.95,20
hamming_n7,synthetic,ls_inversion,50,40,0.05,0.0138,0.165,0.639286,0.702071,119.95,20
hamming_n7,synthetic,ls_inversion,100,40,0.2,0.105,0.3476,0.767857,0.702071,119.95,20
hamming_n7,synthetic,ls_inversion,200,40,0.5,0.352,0.648,0.857143,0.702071,119.95,20
hamming_n7,synthetic,ls_swap,15,40,0.0,0.0,0.0876,0.357143,0.799679,78.45,40
hamming_n7,synthetic,ls_swap,25,40,0.0,0.0,0.0876,0.410714,0.799679,78.45,40
hamming_n7,synthetic,ls_swap,50,40,0.175,0.0875,0.3195,0.614286,0.799679,78.45,40
hamming_n7,synthetic,ls_swap,100,40,0.75,0.5981,0.8581,0.928571,0.799679,78.45,40
hamming_n7,synthetic,ls_swap,200,40,1.0,0.9124,1.0,1.0,0.799679,78.45,40
hamming_n7,synthetic,prism_protocol,15,40,0.0,0.0,0.0876,0.407143,0.685107,143.39,38
hamming_n7,synthetic,prism_protocol,25,40,0.0,0.0,0.0876,0.460714,0.685107,143.39,38
hamming_n7,synthetic,prism_protocol,50,40,0.0,0.0,0.0876,0.532143,0.685107,143.39,38
hamming_n7,synthetic,prism_protocol,100,40,0.075,0.0258,0.1986,0.689286,0.685107,143.39,38
hamming_n7,synthetic,prism_protocol,200,40,0.95,0.835,0.9862,0.985714,0.685107,143.39,38
hamming_n7,synthetic,simulated_annealing,15,40,0.0,0.0,0.0876,0.403571,0.673732,128.86,22
hamming_n7,synthetic,simulated_annealing,25,40,0.0,0.0,0.0876,0.467857,0.673732,128.86,22
hamming_n7,synthetic,simulated_annealing,50,40,0.05,0.0138,0.165,0.575,0.673732,128.86,22
hamming_n7,synthetic,simulated_annealing,100,40,0.1,0.0396,0.2305,0.685714,0.673732,128.86,22
hamming_n7,synthetic,simulated_annealing,200,40,0.55,0.3983,0.6929,0.871429,0.673732,128.86,22
hamming_n7,synthetic,surrogate_positional,15,40,0.5,0.352,0.648,0.8,0.95425,16.52,40
hamming_n7,synthetic,surrogate_positional,25,40,0.975,0.8712,0.9956,0.992857,0.95425,16.52,40
hamming_n7,synthetic,surrogate_positional,50,40,1.0,0.9124,1.0,1.0,0.95425,16.52,40
hamming_n7,synthetic,surrogate_positional,100,40,1.0,0.9124,1.0,1.0,0.95425,16.52,40
hamming_n7,synthetic,surrogate_positional,200,40,1.0,0.9124,1.0,1.0,0.95425,16.52,40
hamming_n7,synthetic,surrogate_precedence,15,40,0.025,0.0044,0.1288,0.496429,0.788911,79.26,27
hamming_n7,synthetic,surrogate_precedence,25,40,0.075,0.0258,0.1986,0.635714,0.788911,79.26,27
hamming_n7,synthetic,surrogate_precedence,50,40,0.25,0.1419,0.4019,0.771429,0.788911,79.26,27
hamming_n7,synthetic,surrogate_precedence,100,40,0.475,0.3294,0.625,0.85,0.788911,79.26,27
hamming_n7,synthetic,surrogate_precedence,200,40,0.675,0.5202,0.7992,0.907143,0.788911,79.26,27
hamming_n7,synthetic,uniform,15,40,0.0,0.0,0.0876,0.417857,0.568929,139.0,1
hamming_n7,synthetic,uniform,25,40,0.0,0.0,0.0876,0.467857,0.568929,139.0,1
hamming_n7,synthetic,uniform,50,40,0.0,0.0,0.0876,0.532143,0.568929,139.0,1
hamming_n7,synthetic,uniform,100,40,0.0,0.0,0.0876,0.592857,0.568929,139.0,1
hamming_n7,synthetic,uniform,200,40,0.025,0.0044,0.1288,0.65,0.568929,139.0,1
kendall_n7,synthetic,ea_aging,15,40,0.0,0.0,0.0876,0.753571,0.906542,116.04,23
kendall_n7,synthetic,ea_aging,25,40,0.0,0.0,0.0876,0.814286,0.906542,116.04,23
kendall_n7,synthetic,ea_aging,50,40,0.1,0.0396,0.2305,0.871429,0.906542,116.04,23
kendall_n7,synthetic,ea_aging,100,40,0.2,0.105,0.3476,0.940476,0.906542,116.04,23
kendall_n7,synthetic,ea_aging,200,40,0.575,0.4219,0.7149,0.97619,0.906542,116.04,23
kendall_n7,synthetic,ea_elitist,15,40,0.0,0.0,0.0876,0.753571,0.926815,106.67,40
kendall_n7,synthetic,ea_elitist,25,40,0.0,0.0,0.0876,0.803571,0.926815,106.67,40
kendall_n7,synthetic,ea_elitist,50,40,0.05,0.0138,0.165,0.882143,0.926815,106.67,40
kendall_n7,synthetic,ea_elitist,100,40,0.4,0.2635,0.554,0.967857,0.926815,106.67,40
kendall_n7,synthetic,ea_elitist,200,40,1.0,0.9124,1.0,1.0,0.926815,106.67,40
kendall_n7,synthetic,ea_portfolio,15,40,0.0,0.0,0.0876,0.753571,0.925,110.03,40
kendall_n7,synthetic,ea_portfolio,25,40,0.0,0.0,0.0876,0.808333,0.925,110.03,40
kendall_n7,synthetic,ea_portfolio,50,40,0.025,0.0044,0.1288,0.885714,0.925,110.03,40
kendall_n7,synthetic,ea_portfolio,100,40,0.35,0.2213,0.5049,0.965476,0.925,110.03,40
kendall_n7,synthetic,ea_portfolio,200,40,1.0,0.9124,1.0,1.0,0.925,110.03,40
kendall_n7,synthetic,eda_precedence,15,40,0.025,0.0044,0.1288,0.780952,0.93053,82.12,26
kendall_n7,synthetic,eda_precedence,25,40,0.05,0.0138,0.165,0.861905,0.93053,82.12,26
kendall_n7,synthetic,eda_precedence,50,40,0.225,0.1232,0.375,0.920238,0.93053,82.12,26
kendall_n7,synthetic,eda_precedence,100,40,0.475,0.3294,0.625,0.965476,0.93053,82.12,26
kendall_n7,synthetic,eda_precedence,200,40,0.65,0.4951,0.7787,0.982143,0.93053,82.12,26
kendall_n7,synthetic,iterated_local_search,15,40,0.0,0.0,0.0876,0.67619,0.899887,94.67,40
kendall_n7,synthetic,iterated_local_search,25,40,0.0,0.0,0.0876,0.694048,0.899887,94.67,40
kendall_n7,synthetic,iterated_local_search,50,40,0.025,0.0044,0.1288,0.82619,0.899887,94.67,40
kendall_n7,synthetic,iterated_local_search,100,40,0.525,0.375,0.6706,0.966667,0.899887,94.67,40
kendall_n7,synthetic,iterated_local_search,200,40,1.0,0.9124,1.0,1.0,0.899887,94.67,40
kendall_n7,synthetic,ls_insert,15,40,0.0,0.0,0.0876,0.67619,0.899887,94.67,40
kendall_n7,synthetic,ls_insert,25,40,0.0,0.0,0.0876,0.694048,0.899887,94.67,40
kendall_n7,synthetic,ls_insert,50,40,0.025,0.0044,0.1288,0.82619,0.899887,94.67,40
kendall_n7,synthetic,ls_insert,100,40,0.525,0.375,0.6706,0.966667,0.899887,94.67,40
kendall_n7,synthetic,ls_insert,200,40,1.0,0.9124,1.0,1.0,0.899887,94.67,40
kendall_n7,synthetic,ls_inversion,15,40,0.0,0.0,0.0876,0.716667,0.920393,95.47,40
kendall_n7,synthetic,ls_inversion,25,40,0.0,0.0,0.0876,0.777381,0.920393,95.47,40
kendall_n7,synthetic,ls_inversion,50,40,0.025,0.0044,0.1288,0.87619,0.920393,95.47,40
kendall_n7,synthetic,ls_inversion,100,40,0.65,0.4951,0.7787,0.977381,0.920393,95.47,40
kendall_n7,synthetic,ls_inversion,200,40,1.0,0.9124,1.0,1.0,0.920393,95.47,40
kendall_n7,synthetic,ls_swap,15,40,0.0,0.0,0.0876,0.75,0.925798,85.08,40
kendall_n7,synthetic,ls_swap,25,40,0.025,0.0044,0.1288,0.785714,0.925798,85.08,40
kendall_n7,synthetic,ls_swap,50,40,0.15,0.0706,0.2907,0.884524,0.925798,85.08,40
kendall_n7,synthetic,ls_swap,100,40,0.675,0.5202,0.7992,0.979762,0.925798,85.08,40
kendall_n7,synthetic,ls_swap,200,40,1.0,0.9124,1.0,1.0,0.925798,85.08,40
kendall_n7,synthetic,prism_protocol,15,40,0.0,0.0,0.0876,0.746429,0.883583,148.94,33
kendall_n7,synthetic,prism_protocol,25,40,0.0,0.0,0.0876,0.783333,0.883583,148.94,33
kendall_n7,synthetic,prism_protocol,50,40,0.0,0.0,0.0876,0.834524,0.883583,148.94,33
kendall_n7,synthetic,prism_protocol,100,40,0.075,0.0258,0.1986,0.9,0.883583,148.94,33
kendall_n7,synthetic,prism_protocol,200,40,0.825,0.6805,0.9125,0.990476,0.883583,148.94,33
kendall_n7,synthetic,simulated_annealing,15,40,0.025,0.0044,0.1288,0.766667,0.906315,119.82,28
kendall_n7,synthetic,simulated_annealing,25,40,0.025,0.0044,0.1288,0.821429,0.906315,119.82,28
kendall_n7,synthetic,simulated_annealing,50,40,0.075,0.0258,0.1986,0.884524,0.906315,119.82,28
kendall_n7,synthetic,simulated_annealing,100,40,0.3,0.1807,0.4543,0.939286,0.906315,119.82,28
kendall_n7,synthetic,simulated_annealing,200,40,0.7,0.5457,0.8193,0.984524,0.906315,119.82,28
kendall_n7,synthetic,surrogate_positional,15,40,0.025,0.0044,0.1288,0.808333,0.934702,59.23,22
kendall_n7,synthetic,surrogate_positional,25,40,0.125,0.0546,0.2611,0.891667,0.934702,59.23,22
kendall_n7,synthetic,surrogate_positional,50,40,0.325,0.2008,0.4798,0.940476,0.934702,59.23,22
kendall_n7,synthetic,surrogate_positional,100,40,0.45,0.3071,0.6017,0.961905,0.934702,59.23,22
kendall_n7,synthetic,surrogate_positional,200,40,0.55,0.3983,0.6929,0.975,0.934702,59.23,22
kendall_n7,synthetic,surrogate_precedence,15,40,0.75,0.5981,0.8581,0.977381,0.980893,14.88,40
kendall_n7,synthetic,surrogate_precedence,25,40,1.0,0.9124,1.0,1.0,0.980893,14.88,40
kendall_n7,synthetic,surrogate_precedence,50,40,1.0,0.9124,1.0,1.0,0.980893,14.88,40
kendall_n7,synthetic,surrogate_precedence,100,40,1.0,0.9124,1.0,1.0,0.980893,14.88,40
kendall_n7,synthetic,surrogate_precedence,200,40,1.0,0.9124,1.0,1.0,0.980893,14.88,40
kendall_n7,synthetic,uniform,15,40,0.0,0.0,0.0876,0.771429,0.853089,139.0,1
kendall_n7,synthetic,uniform,25,40,0.0,0.0,0.0876,0.80119,0.853089,139.0,1
kendall_n7,synthetic,uniform,50,40,0.0,0.0,0.0876,0.847619,0.853089,139.0,1
kendall_n7,synthetic,uniform,100,40,0.0,0.0,0.0876,0.869048,0.853089,139.0,1
kendall_n7,synthetic,uniform,200,40,0.025,0.0044,0.1288,0.892857,0.853089,139.0,1
llm_gsm8k_n6,llm,ea_aging,15,40,0.725,0.5716,0.8389,0.958594,0.965117,11.55,40
llm_gsm8k_n6,llm,ea_aging,25,40,0.9,0.7695,0.9604,0.965625,0.965117,11.55,40
llm_gsm8k_n6,llm,ea_aging,50,40,0.975,0.8712,0.9956,0.967969,0.965117,11.55,40
llm_gsm8k_n6,llm,ea_aging,100,40,1.0,0.9124,1.0,0.96875,0.965117,11.55,40
llm_gsm8k_n6,llm,ea_aging,200,40,1.0,0.9124,1.0,0.96875,0.965117,11.55,40
